ticket_id,name,pipeline,status,priority,owner_user_id,source,issue_of_interest,issued_ticket_before,name_embedding,issue_embedding
73,"I had a routine customer interaction with Mr. Smith yesterday. Our discussion about the new product line was engaging and he seemed genuinely interested in trying out some of the new items. However, there was a minor delivery issue with his last order that left him slightly frustrated. I assured him that we would resolve the issue promptly and he appreciated the quick response. Overall, it was a positive interaction, despite the minor hiccup. I will follow up with him next week to ensure everything has been resolved to his satisfaction.",Support Pipeline,Closed,High,1,Phone,Product Issue,True,,
74,"Today, I had a routine customer interaction with Mr. Johnson regarding his recent purchase of a laptop. The conversation started off positively as he expressed his satisfaction with the product and its features. However, as we delved deeper into the discussion, Mr. Johnson mentioned a minor delivery issue he experienced with the product arriving a day later than expected. Despite this slight inconvenience, he appreciated our prompt response in resolving the issue and overall was pleased with the customer service provided. Overall, it was a productive check-in with Mr. Johnson, and we were able to address his concerns effectively.",Support Pipeline,New,Medium,1,Email,Billing Question,False,,
75,"During our recent conversation with Mr. Smith, he expressed his satisfaction with the new features of our latest product release. However, he did mention a minor issue with the delivery time of his last order. We assured him that we would investigate the matter and ensure timely delivery for his future orders. Overall, Mr. Smith continues to be a loyal customer who values our products and services.",Support Pipeline,Closed,High,1,Phone,Billing Question,True,,
76,"Today, I had a routine customer interaction with Mr. Smith regarding his recent purchase of our new product line. Initially, he seemed quite pleased with the quality and design of the product, mentioning how much he enjoyed using it. However, the conversation took a slight negative turn when he brought up a minor delivery issue he had experienced. Despite this, Mr. Smith was understanding and appreciative of the quick resolution provided by our customer service team. Overall, the check-in was productive and helped strengthen our relationship with this valued customer.",Support Pipeline,In Progress,Low,1,Phone,Delivery Problem,True,,
77,"I had a routine interaction with Mr. Smith today regarding his recent purchase of our new product. He seemed pleased with the features and functionality we discussed during the product demo. However, he did express some concern about the delivery time, as it was slightly delayed. I assured him that I would follow up with our shipping team to ensure a smoother process for future orders. Overall, Mr. Smith seemed satisfied with our conversation and left with a positive attitude towards our company.",Support Pipeline,In Progress,Medium,1,Chat,Product Issue,True,,
78,"Today I had a routine customer interaction with Mr. Smith regarding his recent purchase of a new laptop. We discussed the various features of the laptop and he seemed quite pleased with his decision. However, he did mention a minor issue with the delivery timeline, as he had expected the laptop to arrive sooner. Overall, the conversation was positive, but the slight delay in delivery left him feeling slightly disappointed. I assured him that I would look into the issue and get back to him with a resolution.",Support Pipeline,Closed,Low,1,Chat,Product Issue,False,,
79,"Today, I had a routine customer interaction with Mr. Johnson regarding his recent purchase of our new product. He seemed quite pleased with the features and benefits, expressing excitement about trying it out. However, there was a slight hiccup with the delivery as he mentioned it arrived a day later than expected. I assured him that I would look into this matter and follow up with our shipping department to prevent any future delays. Overall, it was a positive interaction, but the minor delivery issue added a slight negative aspect to the conversation. I will make sure to keep Mr. Johnson updated on the status of his order to ensure his continued satisfaction.",Support Pipeline,In Progress,Low,2,Email,Product Issue,False,,
80,"During our recent call with Mr. Smith, we discussed his satisfaction with our product and how it has improved his daily workflow. However, he did mention a minor delivery issue he experienced with one of his recent orders, which caused some inconvenience. We assured him that we would look into the matter and ensure smoother deliveries in the future. Overall, it was a positive interaction, but we will continue to monitor and address any issues that may arise to maintain customer satisfaction.",Support Pipeline,In Progress,High,2,Phone,Billing Question,False,,
81,"During my recent conversation with Mr. Smith, we discussed the benefits of our new product line and how it could potentially address his needs. He seemed interested in learning more and indicated that he would consider making a purchase in the near future. However, he did express some frustration over a minor delivery issue he experienced with his last order. I assured him that we would look into the matter and ensure that it doesn't happen again. Overall, the interaction was positive, but we will need to follow up to ensure his satisfaction.",Support Pipeline,In Progress,Medium,3,Chat,Product Issue,False,,
82,"Customer interaction: During a routine check-in call with a long-time customer, they expressed satisfaction with the latest product purchased from our company. However, they did mention a minor delivery issue with the package being delayed by a day. Despite this small setback, the customer was understanding and appreciative of our efforts to address the issue promptly. Overall, the interaction was positive, with the customer expressing continued loyalty to our brand.",Support Pipeline,New,Medium,1,Phone,General Inquiry,False,,
83,"Today, I had a routine check-in with a long-time customer who expressed their satisfaction with our products and services. However, they did mention a minor delivery issue they experienced recently. We discussed potential solutions and I assured them that we would address the issue promptly. Overall, the interaction was positive, but the delivery issue highlighted the importance of continuously monitoring and improving our processes to ensure customer satisfaction.",Support Pipeline,In Progress,High,1,Chat,General Inquiry,False,,
84,"I had the pleasure of speaking with Mr. Smith today regarding his recent purchase of our new line of outdoor furniture. He expressed his excitement about the quality and design of the products, which was great to hear. However, he did bring up a minor delivery issue concerning the timing of when the items were set to arrive. I assured him that I would look into this matter further to ensure that his future orders are delivered promptly. Overall, it was a positive interaction, and I appreciate Mr. Smith's feedback as it helps us improve our customer service experience.",Support Pipeline,Waiting on Customer,Medium,1,Web,Billing Question,False,,
85,"During my recent interaction with Mr. Smith, we had a productive discussion about our new product line. He showed interest in a few items and seemed pleased with the variety of options available. However, there was a minor issue with his delivery as one of the items arrived slightly damaged. Mr. Smith was understanding about the situation, but it was still disappointing to hear about the inconvenience it caused him. Overall, our check-in was positive, but I will follow up to ensure the replacement item is delivered promptly.",Support Pipeline,Waiting on Customer,High,3,Email,Billing Question,True,,
86,"I spoke with Mr. Johnson today about his recent purchase of a laptop. He seemed pleased with the product overall, mentioning that it was working well for his needs. However, he did express some frustration with the delivery time, as it arrived a few days later than expected. I assured him that I would look into the issue and see if there was anything that could be done to prevent similar delays in the future. Overall, it was a productive conversation and I believe Mr. Johnson left feeling satisfied with the resolution.",Support Pipeline,New,Low,3,Web,Delivery Problem,False,,
87,"During today's customer interaction, the client seemed engaged and interested in discussing our latest product updates. They asked thoughtful questions and expressed enthusiasm for the new features being introduced.

However, there was a slight hiccup when it came to their recent delivery. The customer mentioned a minor issue with the packaging of their order, which caused a delay in receiving the product. They seemed understanding but slightly disappointed by the inconvenience.

Overall, the check-in went well, and the customer seemed satisfied with the resolution provided for the delivery issue. They expressed their continued loyalty to our brand and appreciation for our attentiveness to their concerns.",Support Pipeline,Waiting on Customer,High,3,Email,General Inquiry,False,,
